mes,ano,numerodias,alturamediaanterior,mstotalanterior,mstotal,tmin,dptmin,vartmin,tmed,dptmed,vartmed,tmax,dptmax,vartmax,umidade,dpumidade,varumidade,velocidadevento,dpvelocidadevento,varvelovidadevento,radiacaosolar,dpradiacaosolar,varradiacaosolar,chuva,dpchuva,varchuva,somatermica,dpsomatermica,varsomatermica,def,dpdef,vardef,exc,dpexc,varexc,TA
11,2017,42,12.12,1596.76,6004.60,13.13,3.10,9.61,19.32,3.17,10.08,23.59,3.50,12.25,66.13,15.05,226.41,4.06,1.46,2.12,943.69,8.63,74.52,178.40,9.11,83.05,359.55,2.75,7.54,60.22,1.58,2.48,100.71,6.82,46.50,104.95
1,2018,35,12.08,5286.81,2214.21,18.15,3.13,9.78,26.26,3.20,10.24,30.47,3.57,12.72,52.97,13.29,176.66,3.91,1.18,1.40,987.31,7.05,49.71,60.60,6.17,38.10,515.15,2.89,8.33,194.25,2.50,6.26,0.00,0.00,0.00,0.00
2,2018,35,9.34,1861.38,1776.38,18.61,2.45,6.01,26.07,2.86,8.18,30.41,3.30,10.91,55.22,12.77,162.97,4.00,0.93,0.87,924.03,6.84,46.78,39.40,3.76,14.15,522.30,2.56,6.55,200.26,2.24,5.01,0.00,0.00,0.00,0.00
3,2018,32,5.39,978.51,1115.88,15.98,3.42,11.68,24.02,2.83,7.98,28.32,3.15,9.93,57.21,8.75,76.58,3.39,1.02,1.05,744.76,5.23,27.30,57.60,5.17,26.72,400.85,2.88,8.27,122.57,1.79,3.22,0.00,0.00,0.00,4.29
4,2018,33,7.05,1540.01,1932.84,17.04,2.42,5.85,23.01,2.80,7.86,26.48,3.28,10.75,69.01,10.78,116.18,3.57,1.32,1.75,532.76,5.27,27.75,91.40,8.44,71.17,399.85,2.43,5.89,55.38,1.30,1.69,0.00,0.00,0.00,11.90
6,2018,44,5.78,1388.91,2129.43,13.62,5.03,25.31,17.57,4.72,22.27,19.83,4.95,24.48,74.97,12.07,145.57,3.44,1.51,2.29,438.41,4.48,20.08,62.40,5.40,29.20,410.25,3.82,14.60,39.83,0.81,0.65,0.00,0.00,0.00,16.83
7,2018,35,9.16,1586.78,992.44,8.24,4.22,17.79,12.69,3.82,14.61,15.32,4.45,19.81,78.54,11.34,128.58,3.24,1.21,1.46,297.25,4.50,20.29,56.00,4.15,17.20,156.40,2.84,8.08,14.25,0.43,0.18,0.00,0.00,0.00,0.00
8,2018,38,5.53,597.20,879.63,9.45,3.73,13.92,13.72,4.13,17.06,16.24,4.71,22.17,77.14,11.51,132.39,4.00,1.00,1.00,388.00,5.72,32.73,75.40,5.59,31.30,206.90,3.32,11.01,0.15,0.02,0.00,69.97,5.52,30.52,7.43
10,2018,45,8.76,1201.12,3314.25,12.53,4.04,16.36,16.95,4.20,17.66,19.70,4.60,21.15,75.31,13.41,179.87,4.71,1.69,2.85,614.91,7.07,50.03,207.40,10.94,119.59,390.25,3.38,11.45,27.32,0.87,0.76,138.47,9.68,93.75,46.96
11,2018,32,10.49,1502.03,3444.87,13.79,2.95,8.69,19.35,1.85,3.43,25.84,3.13,9.77,72.74,6.06,36.67,2.52,1.15,1.33,182.00,8.18,66.98,12.60,4.41,19.48,68.70,2.33,5.43,2.43,0.30,0.09,3.05,1.15,1.33,60.71
12,2018,35,22.25,3091.80,1545.58,15.15,3.96,15.67,20.77,3.04,9.24,27.12,3.33,11.10,64.80,10.79,116.51,3.68,1.16,1.34,947.13,8.39,70.34,97.80,8.12,65.90,400.80,3.20,10.26,56.84,1.13,1.28,28.13,3.28,10.78,0.00
1,2019,35,13.28,2408.66,3120.97,18.69,2.26,5.09,23.26,2.42,5.83,29.08,3.75,14.03,77.49,10.31,106.21,3.58,1.03,1.07,763.91,9.85,96.95,395.80,29.10,846.82,499.90,2.47,6.09,38.69,1.26,1.58,245.86,25.47,648.49,20.35
2,2019,35,9.34,1861.38,4357.94,18.73,3.52,12.37,23.12,3.01,9.09,28.83,3.38,11.44,77.40,7.37,54.25,3.60,1.09,1.18,815.47,7.74,59.92,215.80,15.77,248.70,496.10,3.12,9.72,28.96,0.83,0.69,130.66,14.39,207.10,71.33
4,2019,51,7.24,2021.94,2770.45,15.54,3.77,14.19,21.08,3.26,10.61,27.93,3.67,13.47,72.97,8.56,73.24,3.10,0.97,0.95,1032.58,6.38,40.68,65.20,3.33,11.06,610.35,3.39,11.49,106.22,1.05,1.09,0.00,0.00,0.00,14.68
